	year_month	rideable_type	rides	year	month	season	rides_2months_ago	rides_lastmonth
0	2020-09	2	128325	2020	9	2	1932.0	66171.0
1	2020-10	2	152149	2020	10	3	66171.0	128325.0
2	2020-11	2	108111	2020	11	3	128325.0	152149.0
3	2020-12	2	47779	2020	12	3	152149.0	108111.0
4	2021-01	2	33025	2021	1	0	108111.0	47779.0
5	2021-02	2	13338	2021	2	0	47779.0	33025.0
6	2021-02	1	35009	2021	2	0	70614.0	61697.0
7	2021-03	1	152538	2021	3	0	61697.0	35009.0
8	2021-03	2	60289	2021	3	0	33025.0	13338.0
9	2021-04	2	97873	2021	4	1	13338.0	60289.0
10	2021-04	1	214606	2021	4	1	35009.0	152538.0
11	2021-05	2	179161	2021	5	1	60289.0	97873.0
12	2021-05	1	309066	2021	5	1	152538.0	214606.0
13	2021-06	2	242834	2021	6	1	97873.0	179161.0
14	2021-06	1	434980	2021	6	1	214606.0	309066.0
15	2021-07	2	257763	2021	7	2	179161.0	242834.0
16	2021-07	1	506867	2021	7	2	309066.0	434980.0
17	2021-08	2	256199	2021	8	2	242834.0	257763.0
18	2021-08	1	502981	2021	8	2	434980.0	506867.0
19	2021-09	2	258468	2021	9	2	257763.0	256199.0
20	2021-09	1	462235	2021	9	2	506867.0	502981.0
21	2021-10	1	316115	2021	10	3	502981.0	462235.0
22	2021-10	2	292157	2021	10	3	256199.0	258468.0
23	2021-11	1	154020	2021	11	3	462235.0	316115.0
24	2021-11	2	198263	2021	11	3	258468.0	292157.0
25	2021-12	2	141959	2021	12	3	292157.0	198263.0
26	2021-12	1	100632	2021	12	3	316115.0	154020.0
27	2022-01	2	47737	2022	1	0	198263.0	141959.0
28	2022-01	1	55067	2022	1	0	154020.0	100632.0
29	2022-02	2	54833	2022	2	0	141959.0	47737.0
30	2022-02	1	59410	2022	2	0	100632.0	55067.0
31	2022-03	2	141231	2022	3	0	47737.0	54833.0
32	2022-03	1	134436	2022	3	0	55067.0	59410.0
33	2022-04	2	192395	2022	4	1	54833.0	141231.0
34	2022-04	1	166707	2022	4	1	59410.0	134436.0
35	2022-05	2	284372	2022	5	1	141231.0	192395.0
36	2022-05	1	324029	2022	5	1	134436.0	166707.0
37	2022-06	2	331861	2022	6	1	192395.0	284372.0
38	2022-06	1	406638	2022	6	1	166707.0	324029.0
39	2022-07	1	373147	2022	7	2	324029.0	406638.0
40	2022-07	2	419218	2022	7	2	284372.0	331861.0
41	2022-08	2	415499	2022	8	2	331861.0	419218.0
42	2022-08	1	344033	2022	8	2	406638.0	373147.0
43	2022-09	2	375305	2022	9	2	419218.0	415499.0
44	2022-09	1	306136	2022	9	2	373147.0	344033.0
45	2022-10	2	332453	2022	10	3	415499.0	375305.0
46	2022-10	1	213553	2022	10	3	344033.0	306136.0
47	2022-11	2	187206	2022	11	3	375305.0	332453.0
48	2022-11	1	144585	2022	11	3	306136.0	213553.0
49	2022-12	1	73347	2022	12	3	213553.0	144585.0
50	2022-12	2	106520	2022	12	3	332453.0	187206.0
51	2023-01	2	98261	2023	1	0	187206.0	106520.0
52	2023-01	1	90294	2023	1	0	144585.0	73347.0
53	2023-02	2	98356	2023	2	0	106520.0	98261.0
54	2023-02	1	89885	2023	2	0	73347.0	90294.0
55	2023-03	2	148557	2023	3	0	98261.0	98356.0
56	2023-03	1	107082	2023	3	0	90294.0	89885.0
57	2023-04	1	169732	2023	4	1	89885.0	107082.0
58	2023-04	2	247935	2023	4	1	98356.0	148557.0
59	2023-05	2	321783	2023	5	1	148557.0	247935.0
60	2023-05	1	269881	2023	5	1	107082.0	169732.0
61	2023-06	2	391031	2023	6	1	247935.0	321783.0
62	2023-06	1	313540	2023	6	1	169732.0	269881.0
63	2023-07	2	386903	2023	7	2	321783.0	391031.0
64	2023-07	1	362110	2023	7	2	269881.0	313540.0
65	2023-08	1	396923	2023	8	2	313540.0	362110.0
66	2023-08	2	358556	2023	8	2	391031.0	386903.0
67	2023-09	2	318803	2023	9	2	386903.0	358556.0
68	2023-09	1	347348	2023	9	2	362110.0	396923.0
69	2023-10	1	268340	2023	10	3	396923.0	347348.0
70	2023-10	2	268614	2023	10	3	358556.0	318803.0
71	2023-11	1	176115	2023	11	3	347348.0	268340.0
72	2023-11	2	186254	2023	11	3	318803.0	268614.0
73	2023-12	2	119437	2023	12	3	268614.0	186254.0
74	2023-12	1	104581	2023	12	3	268340.0	176115.0
75	2024-01	2	68260	2024	1	0	186254.0	119437.0
76	2024-01	1	76516	2024	1	0	176115.0	104581.0
77	2024-02	2	82827	2024	2	0	119437.0	68260.0
78	2024-02	1	140309	2024	2	0	104581.0	76516.0
79	2024-03	2	153008	2024	3	0	68260.0	82827.0
80	2024-03	1	148573	2024	3	0	76516.0	140309.0
81	2024-04	1	188387	2024	4	1	140309.0	148573.0
82	2024-04	2	226450	2024	4	1	82827.0	153008.0
83	2024-05	1	306892	2024	5	1	148573.0	188387.0
84	2024-05	2	302551	2024	5	1	153008.0	226450.0
85	2024-06	1	337749	2024	6	1	188387.0	306892.0
86	2024-06	2	372998	2024	6	1	226450.0	302551.0
87	2024-07	1	370561	2024	7	2	306892.0	337749.0
88	2024-07	2	378443	2024	7	2	302551.0	372998.0
89	2024-08	1	352997	2024	8	2	337749.0	370561.0
90	2024-08	2	402725	2024	8	2	372998.0	378443.0
91	2024-09	2	362273	2024	9	2	378443.0	402725.0
92	2024-09	1	314339	2024	9	2	370561.0	352997.0
93	2024-10	1	280597	2024	10	3	352997.0	314339.0
94	2024-10	2	335649	2024	10	3	402725.0	362273.0